you,one,0.000056907098042
all,for,0.000036533729144
god,and,0.000011702159100
was,this,0.000037765963498
that,who,0.000063413252064
and,may,0.000105704704765
and,very,0.000119485113828
all,this,0.000027605443393
are,there,0.000075383650255
and,well,0.000159526447533
and,new,0.000171866835444
for,which,0.000067146153015
know,and,0.000031506409869
for,more,0.000063131112256
and,think,0.000099392360426
for,some,0.000087514250481
are,from,0.000070740112278
what,was,0.000029247597922
that,does,0.000044646450988
and,than,0.000120998585771
such,and,0.000011589052519
not,all,0.000043397845729
they,their,0.000038887243136
other,that,0.000022659700335
and,time,0.000183751646546
you,use,0.000044001095375
would,like,0.000028998154448
and,know,0.000267892552074
did,not,0.000008033651284
for,what,0.000070411195338
been,for,0.000019379614969
but,with,0.000035015669710
and,see,0.000124149781186
with,can,0.000042050196498
and,does,0.000144300327520
that,should,0.000035562701669
not,what,0.000025495100999
that,which,0.000045383156248
very,and,0.000014700776774
all,have,0.000022113674277
one,you,0.000023003132810
about,you,0.000035838551412
you,need,0.000039553873648
that,like,0.000095998475445
were,that,0.000031636380299
that,out,0.000062095830799
with,all,0.000051248032833
how,and,0.000014884742995
with,was,0.000071791619121
their,that,0.000034505432268
that,god,0.000033972839447
what,this,0.000021355170247
will,this,0.000032807871321
what,have,0.000017106825908
and,two,0.000154802168254
more,that,0.000039817176003
right,and,0.000009939381926
was,but,0.000037287201849
and,many,0.000073679599154
with,they,0.000048340825742
that,than,0.000037436904677
you,there,0.000088683860668
will,have,0.000026281144528
and,its,0.000175564258825
than,that,0.000027944433896
they,with,0.000050581493269
that,his,0.000038403497456
and,our,0.000108401844045
and,such,0.000095763200079
who,that,0.000029346965675
are,can,0.000054561674915
over,and,0.000012997005797
fact,that,0.000005897523806
and,could,0.000119109106890
for,about,0.000093079506769
does,that,0.000034344793676
are,all,0.000066496198997
have,from,0.000039578178985
for,has,0.000082034435763
but,can,0.000025506462407
well,and,0.000012887257981
which,that,0.000027702790248
there,this,0.000027490503271
this,what,0.000034243221307
you,they,0.000073790601164
its,and,0.000017807111362
and,system,0.000170882602106
when,that,0.000034721262637
and,said,0.000106789011625
when,they,0.000016955214960
them,that,0.000019248243916
now,and,0.000017407135601
which,are,0.000013896014025
has,with,0.000033048403566
this,all,0.000058288918808
and,those,0.000059897556639
first,and,0.000015123564481
will,with,0.000036130302760
but,there,0.000035240314901
good,and,0.000028054755603
and,god,0.000109802509542
what,about,0.000016214158677
and,most,0.000146053935168
his,that,0.000020416911866
for,who,0.000093822374765
which,you,0.000018023039956
who,have,0.000012448293091
know,what,0.000009439495443
you,any,0.000057429482695
you,should,0.000034342519939
with,from,0.000054518786783
have,some,0.000027165171559
this,there,0.000066079439421
and,now,0.000143201847095
not,was,0.000060794573074
can,from,0.000036484136217
many,and,0.000010636190382
would,this,0.000025028934033
people,are,0.000018737981009
their,they,0.000016849822714
that,other,0.000068814610131
looking,for,0.000002523312105
you,see,0.000037093948777
you,just,0.000082773134636
from,are,0.000041205959860
you,out,0.000059965259425
they,can,0.000036845078284
you,like,0.000092704714916
have,one,0.000027063813832
about,for,0.000038603393477
could,and,0.000029214981623
had,that,0.000020179413696
from,with,0.000047903475206
and,good,0.000165325371199
that,may,0.000032704985642
has,this,0.000030009372495
used,and,0.000025178143915
which,for,0.000019413470000
like,you,0.000018063821699
use,for,0.000012593271094
have,about,0.000028892669434
them,they,0.000009399373994
any,you,0.000024788292649
have,all,0.000037203750253
for,use,0.000067414373916
with,one,0.000037280296965
were,they,0.000015448787963
that,them,0.000046532783017
like,this,0.000014702301087
can,have,0.000028100295822
not,from,0.000046167577239
out,there,0.000018788401576
they,would,0.000042660209147
any,for,0.000026700643502
when,was,0.000025180421289
and,make,0.000143339086208
think,you,0.000011618130884
there,any,0.000019730763597
know,you,0.000020192677766
you,may,0.000031582851079
that,know,0.000082885810116
get,you,0.000023463848265
had,been,0.000006710552952
was,from,0.000039278955228
are,some,0.000048553727538
because,and,0.000029143631764
are,what,0.000039064787416
been,that,0.000027654477890
and,same,0.000127520310343
they,had,0.000028461970942
people,have,0.000015845374946
have,can,0.000030526556657
should,and,0.000024965789635
not,one,0.000031569692510
from,not,0.000045531251089
was,you,0.000046400738938
but,what,0.000018261987861
not,can,0.000035608940379
and,over,0.000096728042990
can,not,0.000036718152842
and,both,0.000113128386147
don,and,0.000025964433007
you,some,0.000057120210840
don,think,0.000005026735835
this,they,0.000054982308939
that,these,0.000052604395023
for,other,0.000101813900983
they,will,0.000050194845244
for,their,0.000103793834569
some,for,0.000020510206014
then,that,0.000051915332733
out,for,0.000022434602215
can,but,0.000034634103940
there,you,0.000033775901102
and,used,0.000137394556077
that,think,0.000030751951272
they,this,0.000045930173656
that,use,0.000045564447646
that,way,0.000030367576983
also,for,0.000022302463549
does,have,0.000014568257029
from,have,0.000034844946640
think,and,0.000018127648218
have,what,0.000021856229068
that,get,0.000065931431891
out,you,0.000020827790649
any,this,0.000020175406462
that,even,0.000053886305977
was,they,0.000034827957279
your,for,0.000030600418540
and,first,0.000156448426424
are,more,0.000035025699617
most,and,0.000012037042325
with,what,0.000030106870327
him,and,0.000008594736755
that,because,0.000049440346629
god,that,0.000011528057257
back,and,0.000010184062376
not,there,0.000049198119086
get,for,0.000025274019208
for,people,0.000080997037003
some,are,0.000014681057110
off,and,0.000009297022189
just,you,0.000028480228139
see,and,0.000019252591301
this,about,0.000045267541282
then,you,0.000033775380871
you,them,0.000044936216000
from,was,0.000059574518673
with,your,0.000029986620575
not,only,0.000037524921936
information,and,0.000004839643680
get,that,0.000036065724998
how,can,0.000006228638540
and,back,0.000107931744424
much,and,0.000017002128516
and,him,0.000096473297162
they,but,0.000045347911509
and,after,0.000111260145786
you,could,0.000035587876482
and,way,0.000098150041595
not,your,0.000025393263059
may,have,0.000005507924925
may,not,0.000007197106697
that,also,0.000053872488934
and,much,0.000161662566825
using,and,0.000008496042938
that,time,0.000056852670241
not,would,0.000041228973714
are,who,0.000052053514082
being,and,0.000010968101378
are,about,0.000051641360187
for,time,0.000084115737991
than,you,0.000018180255211
but,would,0.000029532066037
there,were,0.000012104738744
well,that,0.000012695528312
you,was,0.000109587424959
for,also,0.000079706449469
some,have,0.000012414720914
with,will,0.000057285902585
all,with,0.000030401028198
now,that,0.000017148162442
not,about,0.000033703036024
them,you,0.000012522635188
something,that,0.000009048957509
was,there,0.000041857321776
there,with,0.000030274444725
one,this,0.000018722454115
one,with,0.000020618461349
may,and,0.000013181086615
was,one,0.000026859204809
was,about,0.000028674241548
and,because,0.000159794522915
know,this,0.000016434994905
are,one,0.000048372548918
only,for,0.000022167501811
there,some,0.000019624512788
used,for,0.000017381760699
with,some,0.000037419918954
but,will,0.000034748012695
was,had,0.000023402775696
and,where,0.000144490244566
more,you,0.000025904484573
this,any,0.000042791427404
with,which,0.000028710788683
should,that,0.000024594362912
this,your,0.000034106444218
with,there,0.000058097499277
one,was,0.000025641880711
same,and,0.000014554016161
use,that,0.000017970447516
and,data,0.000087852720753
what,can,0.000017131067580
that,most,0.000045189015509
but,one,0.000022613179681
and,why,0.000104482824099
make,and,0.000012560840332
with,their,0.000044380842155
you,say,0.000034368502384
like,for,0.000019457393137
work,and,0.000006022286470
you,more,0.000041205432353
which,have,0.000011750872545
make,that,0.000012373971003
because,they,0.000014019797163
who,for,0.000020565670638
had,with,0.000011767447177
and,work,0.000071976064646
program,and,0.000005732581940
were,not,0.000017534894141
time,that,0.000023389282433
and,information,0.000045012831833
see,that,0.000018966162315
and,still,0.000068276895036
have,their,0.000032218486012
what,with,0.000023517792215
your,are,0.000021903560992
image,and,0.000002394423518
way,and,0.000023579490517
they,all,0.000044904372771
have,would,0.000035344448406
you,find,0.000037098499888
not,just,0.000045919085096
how,that,0.000014663292859
does,and,0.000034863474866
who,was,0.000021282887246
and,right,0.000110179171315
there,have,0.000022021606128
here,and,0.000013283493900
what,not,0.000022353175154
know,about,0.000012478454664
one,not,0.000019597420760
those,and,0.000006729816960
your,not,0.000024202721761
but,don,0.000014144255147
years,and,0.000008857246939
data,and,0.000009986521945
have,there,0.000042176168790
other,for,0.000015879390048
for,don,0.000054534808442
that,make,0.000044349035306
they,don,0.000020431920348
some,you,0.000019041230189
with,would,0.000048686830269
about,but,0.000028799529900
which,not,0.000015354649804
are,your,0.000038908739953
and,say,0.000115028000437
just,for,0.000030677394534
for,like,0.000142033502925
all,not,0.000028895541618
and,did,0.000088449291070
after,and,0.000008739837540
through,and,0.000003369912520
not,will,0.000048510828492
way,that,0.000023228692953
note,that,0.000002898449338
have,had,0.000023581053028
one,can,0.000015019105376
more,for,0.000027902942747
don,this,0.000013544085050
that,such,0.000029629085475
are,which,0.000037253281334
you,how,0.000039746642869
point,that,0.000008828877071
you,then,0.000059789799707
could,that,0.000028780339562
some,this,0.000015497824279
have,your,0.000021768933948
because,that,0.000028710051993
any,other,0.000016755866454
that,much,0.000050018323236
from,but,0.000042946987378
who,not,0.000016265956219
that,then,0.000061914121034
that,did,0.000027366168069
would,with,0.000027563599360
good,for,0.000019367622372
this,which,0.000032655309042
with,other,0.000043534248107
even,that,0.000017449883671
have,which,0.000020842737285
why,you,0.000010219376236
and,using,0.000087225096649
for,them,0.000068847068178
were,was,0.000022943202566
has,not,0.000031411815144
space,and,0.000004188927960
you,who,0.000061237493355
that,how,0.000041158833483
are,their,0.000057585803006
that,many,0.000022796433768
and,image,0.000049636419135
are,will,0.000074330542702
are,any,0.000048816600611
was,have,0.000030252889701
for,only,0.000103634578409
are,people,0.000044937885832
this,time,0.000040908165829
this,only,0.000050400820328
that,well,0.000049357407988
for,these,0.000077830271039
were,for,0.000022170039301
better,than,0.000002640971388
that,very,0.000036968631321
and,want,0.000094970710052
use,you,0.000011691319742
one,have,0.000014997851395
for,years,0.000039515587559
does,anyone,0.000008805001926
and,need,0.000132382905576
there,not,0.000028775230021
can,are,0.000033230069675
very,that,0.000014482066945
this,just,0.000061675273173
other,you,0.000014742081476
was,were,0.000016629275706
down,and,0.000004991538390
have,was,0.000052117473388
such,that,0.000011416636880
your,this,0.000023122143830
their,for,0.000024180608307
for,when,0.000068868765084
may,that,0.000012984983186
about,are,0.000027632027923
have,them,0.000021370713512
that,into,0.000030212120691
with,any,0.000037622517993
can,any,0.000025177105272
can,what,0.000020147623218
that,good,0.000051151582738
need,and,0.000010993681826
and,being,0.000121303630294
from,they,0.000040114464355
good,that,0.000027637372114
out,this,0.000016951924408
about,what,0.000016753490854
for,his,0.000056819462770
get,this,0.000019097433324
people,they,0.000018241629732
with,has,0.000035076816857
his,was,0.000014806676518
that,used,0.000042509807827
was,his,0.000017503911295
they,was,0.000062904990045
your,have,0.000018522272512
for,than,0.000055389355111
government,and,0.000005862614671
know,but,0.000016226646039
and,others,0.000102195430372
was,all,0.000036922498111
all,they,0.000025457880838
only,you,0.000020579824195
they,from,0.000047770248784
that,our,0.000033539479773
read,and,0.000011143210941
use,this,0.000009515667443
this,some,0.000042560994189
you,also,0.000052024079196
should,have,0.000010432353520
bit,and,0.000009948020306
would,but,0.000024711642254
which,was,0.000020090503313
where,and,0.000016203624909
for,those,0.000027419213438
even,and,0.000017713409761
you,might,0.000032283969631
and,since,0.000093071430456
which,can,0.000011767525393
are,than,0.000030730519939
all,but,0.000027255488021
what,would,0.000019834804334
had,was,0.000014634433683
other,are,0.000011366350009
take,and,0.000007789851225
not,sure,0.000014034288142
sure,that,0.000010734313946
know,for,0.000021750482119
but,from,0.000033069554775
said,and,0.000009929895896
some,with,0.000017067279259
you,which,0.000043826032197
for,just,0.000126817278215
could,have,0.000012207942746
number,and,0.000008127889487
for,information,0.000020605455575
and,while,0.000069889625593
this,also,0.000038763799239
power,and,0.000003358514277
don,but,0.000013372382455
people,for,0.000026177944164
that,doesn,0.000025934999940
here,that,0.000013085869796
into,that,0.000007754135368
that,right,0.000034089382098
and,off,0.000137684386573
there,can,0.000022052810891
think,this,0.000009456099178
year,and,0.000010212482266
have,more,0.000019596438506
only,one,0.000011912695300
how,this,0.000007764468137
that,those,0.000018532271497
has,you,0.000036870675103
you,were,0.000035232733353
does,this,0.000018186174202
are,only,0.000057497432863
and,find,0.000124165031593
are,other,0.000056487300753
when,are,0.000017416567061
about,with,0.000032123261917
new,york,0.000001195193704
that,might,0.000033431009797
people,you,0.000024303033570
how,are,0.000007355265552
for,new,0.000078675249824
from,can,0.000034894324926
are,also,0.000044221873395
some,but,0.000015301360691
who,this,0.000015539728338
want,and,0.000010761998965
you,when,0.000044950367737
this,more,0.000030702656659
are,these,0.000043180938519
any,with,0.000022218560844
had,for,0.000014141261090
have,will,0.000041586976295
which,with,0.000016154641344
them,for,0.000013488722288
but,has,0.000021276613552
but,think,0.000011800636457
than,for,0.000019582808818
can,they,0.000032349842513
don,for,0.000017924578060
about,have,0.000023366439564
and,too,0.000104039703729
people,not,0.000020704861527
other,this,0.000011998705304
you,only,0.000067641885835
and,bit,0.000101274337794
that,same,0.000039454720536
did,and,0.000014713167729
these,that,0.000014775583622
own,and,0.000006140915048
have,out,0.000028518221370
system,that,0.000012308961232
this,does,0.000032125233702
will,but,0.000032391963032
and,take,0.000115352464491
with,his,0.000024295239200
any,would,0.000018739032384
and,here,0.000151748186909
out,with,0.000018668637495
did,that,0.000014494273273
which,this,0.000014669107259
but,all,0.000031085612136
there,one,0.000019551283913
and,number,0.000094640563475
there,but,0.000027142004910
was,when,0.000021215833840
find,that,0.000012068650904
not,know,0.000044403946958
time,for,0.000016390669771
new,for,0.000017505981305
not,because,0.000026486402930
can,use,0.000019290100681
and,through,0.000082289363490
can,your,0.000020067140213
from,one,0.000030936138501
their,are,0.000017308302631
set,and,0.000009504134141
that,being,0.000037531281123
for,how,0.000060896101786
with,them,0.000029438078855
for,out,0.000091873167548
you,make,0.000042827396101
them,are,0.000009655132999
about,not,0.000030532497476
people,with,0.000021783600459
some,not,0.000016222093109
was,who,0.000028903090424
this,when,0.000033493077353
and,program,0.000079190576798
under,and,0.000007086612186
who,you,0.000019092716684
time,you,0.000015216737665
other,have,0.000009611714631
who,with,0.000017113428839
mean,that,0.000008963822438
they,out,0.000034421045711
does,know,0.000018192202333
that,why,0.000032326937799
say,you,0.000006012748599
need,for,0.000007589497272
less,than,0.000000748083608
and,down,0.000103046804725
your,with,0.000025463710699
those,that,0.000006629696145
was,what,0.000021691002985
know,are,0.000015568839444
from,there,0.000048210797104
can,one,0.000024948092687
you,people,0.000052866442275
should,not,0.000013631768525
look,and,0.000008755208000
and,under,0.000091914778750
and,again,0.000068619621743
point,and,0.000008962207176
that,now,0.000044306583732
all,was,0.000037807829358
many,that,0.000010477951037
not,has,0.000029703749533
where,can,0.000006780538115
that,something,0.000030741830415
this,like,0.000069075424108
people,this,0.000019780449293
thing,that,0.000004990379239
are,just,0.000070359375968
things,that,0.000013017407582
and,between,0.000054626409110
also,have,0.000013499565284
and,things,0.000100523313449
was,would,0.000035077242501
say,and,0.000009381626114
they,them,0.000025794128305
they,what,0.000026380144845
before,and,0.000006814875178
system,for,0.000008625833289
which,has,0.000009816063539
this,may,0.000023532773412
got,and,0.000005126809356
with,about,0.000039799535443
about,they,0.000026900082958
tell,you,0.000004195343990
line,and,0.000004063458164
that,really,0.000026702586183
because,you,0.000018678354536
most,that,0.000011857961908
that,must,0.000031147053960
they,there,0.000050906000979
like,have,0.000011777458894
their,own,0.000004429816272
for,sale,0.000034904565837
any,are,0.000019112123482
first,that,0.000014898562767
that,its,0.000054319487390
were,with,0.000018448474293
from,which,0.000023824932214
with,like,0.000060731599660
for,now,0.000065553314926
one,but,0.000018485110559
for,know,0.000122632802231
there,will,0.000030043032893
those,are,0.000003325528724
was,out,0.000028302614737
but,also,0.000020672821847
with,more,0.000026994004656
all,from,0.000028711381674
also,you,0.000020705118004
same,that,0.000014337493667
against,and,0.000006065086836
and,before,0.000070809590397
around,and,0.000006663729437
with,who,0.000040117174649
and,support,0.000050900525821
and,her,0.000130266838823
about,was,0.000039949667553
and,never,0.000084637365944
made,and,0.000010153604308
are,out,0.000050972073950
not,people,0.000029328108212
because,not,0.000015912937670
any,have,0.000016161760868
well,you,0.000008259531569
more,this,0.000021083878892
things,and,0.000013213994862
that,two,0.000047895719035
for,get,0.000097548138001
not,even,0.000028868207664
and,each,0.000064427455072
and,must,0.000100669363746
our,that,0.000017484815544
see,for,0.000013291046344
think,are,0.000008957742466
come,and,0.000008520650226
and,space,0.000074687006418
united,states,0.000000110632136
you,believe,0.000032675205148
they,just,0.000047513134632
who,were,0.000006842521998
last,and,0.000008804855497
you,right,0.000032919753721
been,this,0.000014643529539
also,with,0.000018558681404
that,say,0.000035589604522
see,you,0.000012339118257
much,that,0.000016749185306
and,made,0.000130277927383
this,been,0.000037442514440
with,only,0.000044312750106
used,that,0.000024803563065
saying,that,0.000002568204991
this,don,0.000026522018743
anyone,know,0.000011103008546
that,made,0.000040307917516
but,when,0.000017861933884
other,than,0.000005421232345
for,does,0.000066056170908
they,could,0.000020428025891
are,many,0.000018712726160
and,anyone,0.000129659703816
when,for,0.000024331859095
this,who,0.000045628814405
world,and,0.000011728689969
are,very,0.000030346142012
their,this,0.000018271231966
still,and,0.000006398885944
you,really,0.000025786401238
with,when,0.000029447348425
one,other,0.000015549168893
but,any,0.000022820760933
for,most,0.000066858920036
for,two,0.000070863578003
three,and,0.000002066527486
not,who,0.000033972017263
been,with,0.000016126470655
and,without,0.000100919540273
want,you,0.000006897437288
from,what,0.000024983461117
two,that,0.000018327014914
when,with,0.000020247409338
day,and,0.000004820548838
don,what,0.000007779089174
much,more,0.000004567245469
him,that,0.000008466869986
and,really,0.000086304557044
her,and,0.000005546245120
don,they,0.000012490419977
they,get,0.000036547218770
even,you,0.000011352650290
that,going,0.000028676280635
since,and,0.000010222816854
are,them,0.000038196983951
were,you,0.000020582176148
get,with,0.000021031415599
including,and,0.000001058086013
for,good,0.000075680778536
called,and,0.000007349368843
you,please,0.000045351516746
your,can,0.000018548527805
being,that,0.000010804924386
could,not,0.000015951898604
was,just,0.000039067548641
one,are,0.000017735743313
get,from,0.000019862520276
than,this,0.000014797070435
there,which,0.000015057088603
why,not,0.000008706349945
all,can,0.000022145015464
some,people,0.000010239462426
well,for,0.000008896733561
there,who,0.000021039060812
should,for,0.000017235155610
not,like,0.000051428720326
can,see,0.000016261999917
this,other,0.000049515365390
not,some,0.000031687937735
not,them,0.000024928749554
have,don,0.000016928068362
this,out,0.000044680855353
these,for,0.000010354386177
version,and,0.000001977089823
only,have,0.000013417873561
could,for,0.000020168596166
not,their,0.000037582598452
would,they,0.000023081805921
for,first,0.000071617185313
but,some,0.000022697873646
find,and,0.000012250911823
and,power,0.000087608706963
and,please,0.000151787055074
may,for,0.000009099577255
can,there,0.000038879035856
and,got,0.000059509071434
while,and,0.000005137319022
any,can,0.000016184663764
are,would,0.000063172949012
have,like,0.000044088406867
new,that,0.000024980825401
going,and,0.000007829274182
and,let,0.000100705750810
this,how,0.000029615719541
where,you,0.000010385015230
you,has,0.000053543546528
and,another,0.000106164676254
most,are,0.000005948082617
only,but,0.000016537756892
will,from,0.000034122236684
and,something,0.000099359640444
each,and,0.000006162409591
that,first,0.000048405061534
that,said,0.000033040461858
which,will,0.000016031155610
what,does,0.000011506781448
time,this,0.000012385036825
and,help,0.000068668705353
based,and,0.000007962352356
and,probably,0.000089891997050
out,they,0.000015633149815
like,but,0.000014515922885
not,been,0.000027877076718
like,with,0.000016191192117
out,have,0.000013579548067
and,government,0.000095232448075
anyone,this,0.000011099332369
and,around,0.000121536148072
have,seen,0.000016033258362
have,time,0.000026110243198
this,because,0.000035574663343
but,more,0.000016373800463
run,and,0.000003533302788
there,they,0.000025351881050
only,with,0.000018446373360
not,which,0.000024312856112
your,will,0.000025269058824
and,going,0.000092683665571
from,all,0.000042526924517
use,with,0.000010479315279
different,and,0.000006274356110
something,like,0.000005551457434
know,they,0.000015156431800
you,going,0.000027692378353
his,for,0.000014307699530
that,need,0.000040959221224
their,not,0.000019125112885
support,and,0.000002665765805
without,and,0.000013144466720
are,going,0.000023539270842
people,their,0.000016747315385
evidence,that,0.000001762853572
hard,and,0.000008084633919
and,didn,0.000098882337625
with,also,0.000034081396734
many,have,0.000004444501428
could,you,0.000018724083930
but,only,0.000026878869903
